,title_without_year,year,main_genre,MPAA-Rating,Runtime,Distributor,Budget_$,Domestic_$,International_$,total_revenue_$,imdb_rating
178,Mr. & Mrs. Smith ,2005,Thriller,PG-13,120,Twentieth Century Fox,"$110,000,000","$186,336,279","$300,951,367","$487,287,646",6.5
179,Toy Story 2 ,1999,Adventure,,92,Walt Disney Studios Motion Pictures,"$90,000,000","$245,852,179","$241,207,498","$487,059,677",7.9
180,Angels & Demons ,2009,Action,PG-13,138,Sony Pictures Entertainment (SPE),"$150,000,000","$133,375,846","$352,554,970","$485,930,816",6.7
181,Teenage Mutant Ninja Turtles ,2014,Sci-Fi,PG-13,101,Paramount Pictures,"$125,000,000","$191,204,754","$293,800,000","$485,004,754",5.8
182,Bruce Almighty ,2003,Fantasy,PG-13,101,Universal Pictures,"$81,000,000","$242,829,261","$241,763,613","$484,592,874",6.8
183,Shrek ,2001,Animation,PG,90,DreamWorks Distribution,"$60,000,000","$267,665,011","$216,744,207","$484,409,218",7.9
184,Rio ,2011,Comedy,PG,96,Twentieth Century Fox,"$90,000,000","$143,619,809","$340,246,709","$483,866,518",6.9
185,Rise of the Planet of the Apes ,2011,Action,PG-13,105,Twentieth Century Fox,"$93,000,000","$176,760,185","$305,040,688","$481,800,873",7.6
186,Charlie and the Chocolate Factory ,2005,Comedy,PG,115,Warner Bros.,"$150,000,000","$206,459,076","$268,509,687","$474,968,763",6.7
187,Hotel Transylvania 2 ,2015,Horror,PG,89,Sony Pictures Entertainment (SPE),"$80,000,000","$169,700,110","$305,099,890","$474,800,000",6.6
188,San Andreas ,2015,Action,PG-13,114,Warner Bros.,"$110,000,000","$155,190,832","$318,800,000","$473,990,832",6.1
189,It Chapter Two ,2019,Drama,R,169,Warner Bros.,"$79,000,000","$211,593,228","$261,500,000","$473,093,228",6.5
190,Wreck-It Ralph ,2012,Fantasy,PG,101,Walt Disney Studios Motion Pictures,"$165,000,000","$189,422,889","$281,800,000","$471,222,889",7.7
191,The Hangover ,2009,Comedy,R,100,Warner Bros.,"$35,000,000","$277,322,503","$191,490,290","$468,812,793",7.7
192,The Lego Movie ,2014,Animation,PG,100,Warner Bros.,"$60,000,000","$257,760,692","$210,300,000","$468,060,692",7.7
193,Bumblebee ,2018,Action,PG-13,114,Paramount Pictures,"$135,000,000","$127,195,589","$340,794,056","$467,989,645",6.7
194,Star Trek Into Darkness ,2013,Action,PG-13,132,Paramount Pictures,"$190,000,000","$228,778,661","$238,586,585","$467,365,246",7.7
195,Cars ,2006,Family,,117,Walt Disney Studios Motion Pictures,"$120,000,000","$244,082,982","$217,900,167","$461,983,149",7.2
196,Gladiator ,2000,Drama,R,155,DreamWorks Distribution,"$103,000,000","$187,705,427","$272,878,533","$460,583,960",8.5
197,X-Men: The Last Stand ,2006,Action,PG-13,104,Twentieth Century Fox,"$210,000,000","$234,362,462","$226,072,829","$460,435,291",6.6
198,Lucy ,2014,Action,R,89,Universal Pictures,"$40,000,000","$126,663,600","$332,200,000","$458,863,600",6.4
199,300 ,2007,Action,R,117,Warner Bros.,"$65,000,000","$210,614,939","$245,453,242","$456,068,181",7.6
200,The Last Samurai ,2003,Action,R,154,Warner Bros.,"$140,000,000","$111,127,263","$343,500,000","$454,627,263",7.8
201,Ocean's Eleven ,2001,Thriller,PG-13,116,Warner Bros.,"$85,000,000","$183,417,150","$267,300,000","$450,717,150",7.7
