,title_without_year,year,main_genre,MPAA-Rating,Runtime,Distributor,Budget_$,Domestic_$,International_$,total_revenue_$,imdb_rating
351,Chicago ,2002,Comedy,PG-13,113,Miramax,"$45,000,000","$170,687,518","$136,089,214","$306,776,732",7.2
352,Annabelle: Creation ,2017,Thriller,R,109,Warner Bros.,"$15,000,000","$102,092,201","$204,423,683","$306,515,884",6.5
353,Skyscraper ,2018,Thriller,PG-13,102,Universal Pictures,"$125,000,000","$68,420,120","$236,448,841","$304,868,961",5.8
354,A Good Day to Die Hard ,2013,Action,R,98,Twentieth Century Fox,"$92,000,000","$67,349,198","$237,304,984","$304,654,182",5.2
355,Passengers ,2016,Thriller,PG-13,116,Sony Pictures Entertainment (SPE),"$110,000,000","$100,014,699","$203,129,453","$303,144,152",7.0
356,Battleship ,2012,Sci-Fi,PG-13,131,Universal Pictures,"$209,000,000","$65,422,625","$237,602,860","$303,025,485",5.8
357,G.I. Joe: The Rise of Cobra ,2009,Thriller,PG-13,118,Paramount Pictures,"$175,000,000","$150,201,498","$152,267,519","$302,469,017",5.7
358,Wrath of the Titans ,2012,Action,PG-13,99,Warner Bros.,"$150,000,000","$83,670,083","$218,300,000","$301,970,083",5.7
359,Fantastic 4: Rise of the Silver Surfer ,2007,Fantasy,PG,92,Twentieth Century Fox,"$130,000,000","$131,921,738","$169,991,393","$301,913,131",
360,Resident Evil: Afterlife ,2010,Sci-Fi,R,96,Screen Gems,"$60,000,000","$60,128,566","$240,099,518","$300,228,084",5.8
361,Van Helsing ,2004,Adventure,PG-13,131,Universal Pictures,"$160,000,000","$120,177,084","$179,980,554","$300,157,638",6.1
362,Stuart Little ,1999,Fantasy,PG,84,Sony Pictures Entertainment (SPE),"$133,000,000","$140,035,367","$160,100,000","$300,135,367",6.0
363,Alice Through the Looking Glass ,2016,Family,PG,113,Walt Disney Studios Motion Pictures,"$170,000,000","$77,041,381","$222,415,643","$299,457,024",6.2
364,Horton Hears a Who! ,2008,Fantasy,,86,Twentieth Century Fox,"$85,000,000","$154,529,439","$144,043,360","$298,572,799",6.8
365,Ocean's Eight ,2018,Comedy,PG-13,110,Warner Bros.,"$70,000,000","$140,218,711","$157,500,000","$297,718,711",6.3
366,The Divergent Series: Insurgent ,2015,Thriller,PG-13,119,Lionsgate,"$110,000,000","$130,179,072","$166,823,455","$297,002,527",6.2
367,Austin Powers in Goldmember ,2002,Comedy,PG-13,94,New Line Cinema,"$63,000,000","$213,307,889","$83,630,912","$296,938,801",6.2
368,Miss Peregrine's Home for Peculiar Children ,2016,Drama,PG-13,127,Twentieth Century Fox,"$110,000,000","$87,242,834","$209,239,612","$296,482,446",6.7
369,X-Men ,2000,Action,PG-13,104,Twentieth Century Fox,"$75,000,000","$157,299,718","$139,039,810","$296,339,528",7.3
370,Ferdinand ,2017,Animation,PG,108,Twentieth Century Fox,"$111,000,000","$84,410,380","$211,658,819","$296,069,199",6.7
371,Shutter Island ,2010,Mystery,R,138,Paramount Pictures,"$80,000,000","$128,012,934","$166,791,261","$294,804,195",8.2
372,Bee Movie ,2007,Family,PG,91,DreamWorks,"$150,000,000","$126,631,277","$166,883,059","$293,514,336",6.1
373,Salt ,2010,Thriller,PG-13,100,Sony Pictures Entertainment (SPE),"$110,000,000","$118,311,368","$175,191,986","$293,503,354",6.4
374,G-Force ,2009,Adventure,PG,88,Walt Disney Studios Motion Pictures,"$150,000,000","$119,436,770","$173,381,071","$292,817,841",5.1
375,The Departed ,2006,Drama,R,151,Warner Bros.,"$90,000,000","$132,384,315","$159,080,719","$291,465,034",8.5
376,What Lies Beneath ,2000,Mystery,PG-13,130,DreamWorks Distribution,"$100,000,000","$155,464,351","$135,956,000","$291,420,351",6.6
377,Pacific Rim: Uprising ,2018,Adventure,PG-13,111,Universal Pictures,"$150,000,000","$59,874,525","$231,055,623","$290,930,148",5.6
378,Sex and the City 2 ,2010,Drama,R,146,Warner Bros.,"$100,000,000","$95,347,692","$195,397,363","$290,745,055",4.5
379,The Bourne Supremacy ,2004,Mystery,PG-13,108,Universal Pictures,"$75,000,000","$176,241,941","$114,391,481","$290,633,422",7.7
380,Divergent ,2014,Sci-Fi,PG-13,139,Lionsgate,"$85,000,000","$150,947,895","$137,937,923","$288,885,818",6.6
381,Wedding Crashers ,2005,Romance,R,119,New Line Cinema,"$40,000,000","$209,255,921","$79,211,724","$288,467,645",7.0
382,Bridesmaids ,2011,Comedy,R,125,Universal Pictures,"$32,500,000","$169,106,725","$119,276,798","$288,383,523",6.8
383,Maze Runner: The Death Cure ,2018,Action,PG-13,143,Twentieth Century Fox,"$62,000,000","$58,032,443","$230,142,892","$288,175,335",6.2
384,American Pie 2 ,2001,Comedy,R,108,Universal Pictures,"$30,000,000","$145,103,595","$142,450,000","$287,553,595",6.4
385,Pitch Perfect 2 ,2015,Comedy,PG-13,115,Universal Pictures,"$29,000,000","$184,296,230","$102,847,849","$287,144,079",6.4
386,The Green Mile ,1999,Mystery,R,189,Warner Bros.,"$60,000,000","$136,801,374","$150,000,000","$286,801,374",8.6
387,Oblivion ,2013,Action,PG-13,124,Universal Pictures,"$120,000,000","$89,107,235","$197,061,337","$286,168,572",7.0
388,Elysium ,2013,Drama,R,109,TriStar Pictures,"$115,000,000","$93,050,117","$193,090,583","$286,140,700",6.6
389,The Polar Express ,2004,Animation,,100,Warner Bros.,"$165,000,000","$162,775,358","$123,225,147","$286,000,505",6.6
390,John Carter ,2012,Sci-Fi,PG-13,132,Walt Disney Studios Motion Pictures,"$250,000,000","$73,078,100","$211,061,000","$284,139,100",6.6
391,Turbo ,2013,Comedy,PG,96,Twentieth Century Fox,"$135,000,000","$83,028,128","$199,542,554","$282,570,682",6.4
392,Paddington ,2015,Fantasy,PG,95,Dimension Films,"$55,000,000","$76,271,832","$206,098,303","$282,370,135",7.3
393,Bridget Jones's Diary ,2001,Romance,R,97,Miramax,"$25,000,000","$71,543,427","$210,386,368","$281,929,795",6.8
394,The Tourist ,2010,Thriller,PG-13,103,Sony Pictures Entertainment (SPE),"$100,000,000","$67,631,157","$211,149,284","$278,780,441",6.0
395,Split ,2017,Thriller,PG-13,117,Universal Pictures,"$9,000,000","$138,291,365","$140,162,993","$278,454,358",7.3
396,Scary Movie ,2000,Comedy,R,88,Miramax,"$19,000,000","$157,019,771","$121,000,000","$278,019,771",6.3
397,xXx ,2002,Action,PG-13,124,Revolution Studios,"$70,000,000","$142,109,382","$135,339,000","$277,448,382",5.8
398,The Bourne Legacy ,2012,Adventure,PG-13,135,Universal Pictures,"$125,000,000","$113,203,870","$162,940,880","$276,144,750",6.6
399,Mr. Peabody & Sherman ,2014,Adventure,PG,92,Twentieth Century Fox,"$145,000,000","$111,506,430","$164,191,609","$275,698,039",6.8
400,Scooby-Doo ,2002,Fantasy,PG,89,Warner Bros.,"$84,000,000","$153,294,164","$122,356,539","$275,650,703",5.3
401,Lincoln ,2012,Drama,PG-13,150,Walt Disney Studios Motion Pictures,"$65,000,000","$182,207,973","$93,085,477","$275,293,450",7.3
402,Lara Croft: Tomb Raider ,2001,Adventure,PG-13,100,Paramount Pictures,"$115,000,000","$131,168,070","$143,535,270","$274,703,340",5.8
403,Tomb Raider ,2018,Fantasy,PG-13,119,Warner Bros.,"$94,000,000","$58,250,803","$216,400,000","$274,650,803",6.3
404,The Expendables ,2010,Action,R,103,Lionsgate,"$80,000,000","$103,068,524","$171,401,870","$274,470,394",6.4
405,Cloudy with a Chance of Meatballs 2 ,2013,Sci-Fi,PG,95,Sony Pictures Entertainment (SPE),"$78,000,000","$119,793,567","$154,532,382","$274,325,949",6.3
406,Bad Boys II ,2003,Crime,R,147,Sony Pictures Entertainment (SPE),"$130,000,000","$138,608,444","$134,731,112","$273,339,556",6.6
407,Lilo & Stitch ,2002,Sci-Fi,PG,85,Walt Disney Studios Motion Pictures,"$80,000,000","$145,794,338","$127,349,813","$273,144,151",7.3
408,Grown Ups ,2010,Comedy,PG-13,102,Sony Pictures Entertainment (SPE),"$80,000,000","$162,001,186","$109,429,003","$271,430,189",6.0
409,Neighbors ,2014,Comedy,R,97,Universal Pictures,"$18,000,000","$150,157,400","$120,507,734","$270,665,134",6.3
410,We're the Millers ,2013,Crime,R,110,Warner Bros.,"$37,000,000","$150,394,119","$119,600,000","$269,994,119",7.0
411,Gran Torino ,2008,Drama,R,116,Warner Bros.,"$33,000,000","$148,095,302","$121,862,926","$269,958,228",8.1
412,"10,000 BC ",2008,Drama,PG-13,109,Warner Bros.,"$105,000,000","$94,784,201","$175,000,000","$269,784,201",5.1
413,American Gangster ,2007,Drama,R,157,Universal Pictures,"$100,000,000","$130,164,645","$139,590,785","$269,755,430",7.8
414,Epic ,2013,Mystery,PG,102,Twentieth Century Fox,"$100,000,000","$107,518,682","$160,907,952","$268,426,634",6.6
415,Exodus: Gods and Kings ,2014,Drama,PG-13,150,Twentieth Century Fox,"$140,000,000","$65,014,513","$203,161,118","$268,175,631",6.0
416,The Princess and the Frog ,2009,Adventure,,97,Walt Disney Studios Motion Pictures,"$105,000,000","$104,400,899","$162,644,866","$267,045,765",7.2
417,Something's Gotta Give ,2003,Comedy,PG-13,128,Sony Pictures Entertainment (SPE),"$80,000,000","$124,728,738","$140,600,000","$265,328,738",6.7
418,Bridget Jones: The Edge of Reason ,2004,Romance,R,108,Universal Pictures,"$40,000,000","$40,226,215","$224,900,703","$265,126,918",6.0
419,The Incredible Hulk ,2008,Adventure,PG-13,112,Universal Pictures,"$150,000,000","$134,806,913","$129,964,083","$264,770,996",6.6
420,Charlie's Angels ,2000,Adventure,PG-13,98,Sony Pictures Entertainment (SPE),"$93,000,000","$125,305,545","$138,800,000","$264,105,545",5.6
421,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,2006,Comedy,R,84,Twentieth Century Fox,"$18,000,000","$128,505,958","$134,046,935","$262,552,893",
422,Robots ,2005,Comedy,PG,91,Twentieth Century Fox,"$75,000,000","$128,200,012","$134,311,478","$262,511,490",6.4
423,Knight and Day ,2010,Action,PG-13,109,Twentieth Century Fox,"$117,000,000","$76,423,035","$185,507,401","$261,930,436",6.3
424,Terminator: Dark Fate ,2019,Action,R,128,Paramount Pictures,"$185,000,000","$62,253,077","$198,866,215","$261,119,292",6.2
425,The Lone Ranger ,2013,Western,PG-13,150,Walt Disney Studios Motion Pictures,"$215,000,000","$89,302,115","$171,200,000","$260,502,115",6.4
426,Super 8 ,2011,Thriller,PG-13,112,Paramount Pictures,"$50,000,000","$127,004,179","$133,091,807","$260,095,986",7.0
427,Blade Runner 2049 ,2017,Action,R,164,Warner Bros.,"$150,000,000","$92,054,159","$167,185,499","$259,239,658",8.0
428,Charlie's Angels: Full Throttle ,2003,Adventure,PG-13,106,Sony Pictures Entertainment (SPE),"$120,000,000","$100,830,111","$158,345,677","$259,175,788",4.9
429,Parasite ,2019,Drama,R,132,Neon,"$11,400,000","$53,369,749","$205,404,985","$258,774,734",8.5
430,Rush Hour 3 ,2007,Comedy,PG-13,91,New Line Cinema,"$140,000,000","$140,125,968","$117,971,154","$258,097,122",6.2
431,Annabelle ,2014,Horror,R,99,Warner Bros.,"$6,500,000","$84,273,813","$172,773,848","$257,047,661",5.4
432,The Village ,2004,Drama,PG-13,108,Walt Disney Studios Motion Pictures,"$60,000,000","$114,197,520","$142,500,000","$256,697,520",6.6
433,Erin Brockovich ,2000,Drama,R,131,Universal Pictures,"$52,000,000","$125,595,205","$130,676,081","$256,271,286",7.4
434,Halloween ,2018,Crime,R,106,Universal Pictures,"$10,000,000","$159,342,015","$96,143,163","$255,485,178",7.7
435,Get Out ,2017,Thriller,R,104,Universal Pictures,"$4,500,000","$176,040,665","$79,367,304","$255,407,969",7.8
436,Us ,2019,Mystery,R,116,Universal Pictures,"$20,000,000","$175,084,580","$80,100,000","$255,184,580",6.8
437,Men in Black: International ,2019,Adventure,PG-13,114,Sony Pictures Entertainment (SPE),"$110,000,000","$80,001,807","$173,888,894","$253,890,701",5.6
438,The World Is Not Enough ,1999,Crime,PG-13,128,Metro-Goldwyn-Mayer (MGM),"$135,000,000","$126,943,684","$126,943,684","$253,887,368",6.4
439,High School Musical 3: Senior Year ,2008,Family,G,112,Walt Disney Studios Motion Pictures,"$11,000,000","$90,559,416","$162,349,761","$252,909,177",5.0
440,X-Men: Dark Phoenix ,2019,Action,PG-13,113,Twentieth Century Fox,"$200,000,000","$65,845,974","$186,597,000","$252,442,974",6.5
441,True Grit ,2010,Western,PG-13,110,Paramount Pictures,"$38,000,000","$171,243,005","$81,033,922","$252,276,927",7.6
442,American Hustle ,2013,Drama,R,138,Sony Pictures Entertainment (SPE),"$40,000,000","$150,117,807","$101,054,000","$251,171,807",7.2
443,Eragon ,2006,Family,PG,104,Twentieth Century Fox,"$100,000,000","$75,030,163","$175,395,349","$250,425,512",5.1
444,The Ring ,2002,Horror,PG-13,115,DreamWorks Distribution,"$48,000,000","$129,128,133","$120,220,800","$249,348,933",7.1
445,Unbreakable ,2000,Drama,PG-13,106,Walt Disney Studios Motion Pictures,"$75,000,000","$95,011,339","$153,106,782","$248,118,121",7.3
446,Glass ,2019,Drama,PG-13,129,Universal Pictures,"$20,000,000","$111,048,468","$135,950,571","$246,999,039",6.6
447,Grown Ups 2 ,2013,Comedy,PG-13,101,Sony Pictures Entertainment (SPE),"$80,000,000","$133,668,525","$113,315,753","$246,984,278",5.4
448,The Peanuts Movie ,2015,Animation,G,88,Twentieth Century Fox,"$99,000,000","$130,178,411","$116,054,702","$246,233,113",7.0
449,Rango ,2011,Adventure,PG,107,Paramount Pictures,"$135,000,000","$123,477,607","$122,246,996","$245,724,603",7.3
450,Teenage Mutant Ninja Turtles: Out of the Shadows ,2016,Adventure,PG-13,112,Paramount Pictures,"$135,000,000","$82,051,601","$163,572,247","$245,623,848",5.9
451,Dark Shadows ,2012,Fantasy,PG-13,113,Warner Bros.,"$150,000,000","$79,727,149","$165,800,000","$245,527,149",6.2
452,Hulk ,2003,Action,PG-13,138,Universal Pictures,"$137,000,000","$132,177,234","$113,107,931","$245,285,165",5.6
453,Love Actually ,2003,Drama,R,135,Universal Pictures,"$40,000,000","$59,696,144","$185,235,622","$244,931,766",7.6
454,Pixels ,2015,Fantasy,PG-13,105,Sony Pictures Entertainment (SPE),"$88,000,000","$78,747,585","$166,127,224","$244,874,809",5.6
455,Hercules ,2014,Action,PG-13,98,Paramount Pictures,"$100,000,000","$72,688,614","$172,131,248","$244,819,862",7.3
456,Journey to the Center of the Earth ,2008,Action,PG,93,Warner Bros.,"$60,000,000","$101,704,370","$142,528,318","$244,232,688",5.8
457,After Earth ,2013,Sci-Fi,PG-13,100,Sony Pictures Entertainment (SPE),"$130,000,000","$60,522,097","$183,089,885","$243,611,982",4.8
458,Cloudy with a Chance of Meatballs ,2009,Family,PG,90,Sony Pictures Entertainment (SPE),"$100,000,000","$124,870,275","$118,135,851","$243,006,126",6.9
459,8 Mile ,2002,Music,R,110,Universal Pictures,"$41,000,000","$116,750,901","$126,124,177","$242,875,078",7.2
460,RoboCop ,2014,Action,PG-13,117,Sony Pictures Entertainment (SPE),"$100,000,000","$58,607,007","$184,081,958","$242,688,965",7.6
461,Alien: Covenant ,2017,Thriller,R,122,Twentieth Century Fox,"$97,000,000","$74,262,031","$166,629,732","$240,891,763",6.4
462,Sully ,2016,Drama,PG-13,96,Warner Bros.,"$60,000,000","$125,070,033","$115,727,590","$240,797,623",7.4
463,Assassin's Creed ,2016,Sci-Fi,PG-13,115,Twentieth Century Fox,"$125,000,000","$54,647,948","$186,049,908","$240,697,856",5.6
464,Click ,2006,Fantasy,PG-13,107,Revolution Studios,"$82,500,000","$137,355,633","$103,329,693","$240,685,326",6.4
465,Resident Evil: Retribution ,2012,Thriller,R,95,Screen Gems,"$65,000,000","$42,345,531","$197,813,724","$240,159,255",5.3
466,Planes ,2013,Comedy,PG,91,Walt Disney Studios Motion Pictures,"$50,000,000","$90,288,712","$148,970,000","$239,258,712",5.7
467,Crazy Rich Asians ,2018,Romance,PG-13,120,Warner Bros.,"$30,000,000","$174,532,921","$64,000,000","$238,532,921",6.9
468,Gulliver's Travels ,2010,Fantasy,PG,85,Twentieth Century Fox,"$112,000,000","$42,779,261","$194,603,463","$237,382,724",4.9
469,Gone in 60 Seconds ,2000,Action,PG-13,118,Walt Disney Studios Motion Pictures,"$90,000,000","$101,648,571","$135,553,728","$237,202,299",6.5
470,Silver Linings Playbook ,2012,Comedy,R,122,The Weinstein Company,"$21,000,000","$132,092,958","$104,319,495","$236,412,453",7.7
471,2 Fast 2 Furious ,2003,Thriller,PG-13,107,Universal Pictures,"$76,000,000","$127,154,901","$109,195,760","$236,350,661",5.9
472,Hidden Figures ,2016,Biography,PG,127,Twentieth Century Fox,"$25,000,000","$169,607,287","$66,349,611","$235,956,898",7.8
473,A.I. Artificial Intelligence ,2001,Drama,PG-13,146,Warner Bros.,"$100,000,000","$78,616,689","$157,309,863","$235,926,552",7.2
474,Spy ,2015,Action,R,120,Twentieth Century Fox,"$65,000,000","$110,825,712","$124,840,507","$235,666,219",7.0
475,American Reunion ,2012,Comedy,R,113,Universal Pictures,"$50,000,000","$57,011,521","$177,978,063","$234,989,584",6.7
476,The Day the Earth Stood Still ,2008,Drama,PG-13,104,Twentieth Century Fox,"$80,000,000","$79,366,978","$153,726,881","$233,093,859",5.5
477,American Wedding ,2003,Comedy,R,96,Universal Pictures,"$55,000,000","$104,565,114","$128,157,821","$232,722,935",6.3
478,The Girl with the Dragon Tattoo ,2011,Crime,R,158,Sony Pictures Entertainment (SPE),"$90,000,000","$102,515,793","$130,101,637","$232,617,430",7.8
479,Juno ,2007,Comedy,PG-13,96,Fox Searchlight Pictures,"$7,500,000","$143,495,265","$88,877,416","$232,372,681",7.4
480,Argo ,2012,Biography,R,120,Warner Bros.,"$44,500,000","$136,025,503","$96,300,000","$232,325,503",7.7
481,Annabelle Comes Home ,2019,Thriller,R,106,Warner Bros.,"$30,000,000","$74,152,591","$157,100,000","$231,252,591",5.9
482,Constantine ,2005,Action,R,121,Warner Bros.,"$100,000,000","$75,976,178","$154,908,550","$230,884,728",7.0
483,Get Smart ,2008,Action,PG-13,110,Warner Bros.,"$80,000,000","$130,319,208","$100,366,245","$230,685,453",6.5
484,The Heat ,2013,Crime,R,117,Twentieth Century Fox,"$43,000,000","$159,582,188","$70,348,583","$229,930,771",6.6
485,Ghostbusters ,2016,Sci-Fi,PG-13,117,Sony Pictures Entertainment (SPE),"$144,000,000","$128,350,574","$100,796,935","$229,147,509",7.8
486,Ghost Rider ,2007,Thriller,PG-13,110,Sony Pictures Entertainment (SPE),"$110,000,000","$115,802,596","$112,935,797","$228,738,393",5.3
487,The Green Hornet ,2011,Crime,PG-13,119,Sony Pictures Entertainment (SPE),"$120,000,000","$98,780,042","$129,037,206","$227,817,248",5.8
488,Baby Driver ,2017,Crime,R,113,TriStar Pictures,"$34,000,000","$107,825,862","$119,119,225","$226,945,087",7.5
489,Immortals ,2011,Romance,R,110,Relativity Media,"$75,000,000","$83,504,017","$143,400,000","$226,904,017",6.0
490,Taken ,2009,Action,PG-13,90,Twentieth Century Fox,"$25,000,000","$145,000,989","$81,836,771","$226,837,760",7.7
491,Percy Jackson & the Olympians: The Lightning Thief ,2010,Fantasy,PG,118,Twentieth Century Fox,"$95,000,000","$88,768,303","$137,728,906","$226,497,209",5.9
492,Hansel & Gretel: Witch Hunters ,2013,Fantasy,R,88,Paramount Pictures,"$50,000,000","$55,703,475","$170,646,274","$226,349,749",6.1
493,Valerian and the City of a Thousand Planets ,2017,Fantasy,PG-13,136,STX Entertainment,"$177,200,000","$41,189,488","$184,684,740","$225,874,228",6.4
494,Ford v Ferrari ,2019,Biography,PG-13,152,Twentieth Century Fox,"$97,600,000","$117,624,357","$107,883,853","$225,508,210",8.1
495,Jumper ,2008,Sci-Fi,PG-13,88,Twentieth Century Fox,"$85,000,000","$80,172,128","$144,959,985","$225,132,113",6.1
496,The Social Network ,2010,Biography,PG-13,120,Sony Pictures Entertainment (SPE),"$40,000,000","$96,962,694","$127,957,621","$224,920,315",7.8
497,Yes Man ,2008,Romance,PG-13,104,Warner Bros.,"$70,000,000","$97,690,976","$125,550,661","$223,241,637",6.8
498,Non-Stop ,2014,Mystery,PG-13,106,Universal Pictures,"$50,000,000","$92,168,600","$130,641,000","$222,809,600",6.9
499,Fahrenheit 9/11 ,2004,Drama,R,122,Lionsgate,"$6,000,000","$119,194,771","$103,252,111","$222,446,882",7.5
500,Geostorm ,2017,Action,PG-13,109,Warner Bros.,"$120,000,000","$33,700,160","$187,900,000","$221,600,160",5.3
501,Scary Movie 3 ,2003,Comedy,PG-13,84,Dimension Films,"$48,000,000","$110,003,217","$110,670,000","$220,673,217",5.5
502,Elf ,2003,Fantasy,PG,97,New Line Cinema,"$33,000,000","$173,398,518","$47,044,933","$220,443,451",7.1
503,Collateral ,2004,Thriller,R,120,DreamWorks Distribution,"$65,000,000","$101,005,703","$119,234,222","$220,239,925",7.5
504,Inferno ,2016,Drama,PG-13,121,Sony Pictures Entertainment (SPE),"$75,000,000","$34,343,574","$185,677,685","$220,021,259",6.2
505,Knocked Up ,2007,Romance,R,129,Universal Pictures,"$30,000,000","$148,768,917","$71,153,500","$219,922,417",6.9
506,Green Lantern ,2011,Adventure,PG-13,114,Warner Bros.,"$200,000,000","$116,601,172","$103,250,000","$219,851,172",5.5
507,What Happens in Vegas ,2008,Comedy,PG-13,99,Twentieth Century Fox,"$35,000,000","$80,277,646","$139,097,916","$219,375,562",6.1
508,It's Complicated ,2009,Drama,R,121,Universal Pictures,"$85,000,000","$112,735,375","$106,368,280","$219,103,655",6.5
509,Captain Phillips ,2013,Crime,PG-13,134,Sony Pictures Entertainment (SPE),"$55,000,000","$107,100,855","$111,690,956","$218,791,811",7.8
510,The Terminal ,2004,Romance,PG-13,128,DreamWorks Distribution,"$60,000,000","$77,872,883","$140,812,724","$218,685,607",7.4
511,Jack Reacher ,2012,Action,PG-13,130,Paramount Pictures,"$60,000,000","$80,070,736","$138,269,859","$218,340,595",7.0
512,Kingdom of Heaven ,2005,Adventure,R,144,Twentieth Century Fox,"$130,000,000","$47,398,413","$170,724,214","$218,122,627",7.3
513,The Emoji Movie ,2017,Adventure,PG,86,Sony Pictures Entertainment (SPE),"$50,000,000","$86,089,513","$131,687,133","$217,776,646",3.4
514,Dracula Untold ,2014,War,PG-13,92,Universal Pictures,"$70,000,000","$56,280,355","$160,843,925","$217,124,280",6.2
515,Central Intelligence ,2016,Action,PG-13,107,Warner Bros.,"$50,000,000","$127,440,871","$89,531,672","$216,972,543",6.3
516,Million Dollar Baby ,2004,Drama,PG-13,132,Warner Bros.,"$30,000,000","$100,492,203","$116,271,443","$216,763,646",8.1
517,The Help ,2011,Drama,PG-13,146,Walt Disney Studios Motion Pictures,"$25,000,000","$169,708,112","$46,931,000","$216,639,112",8.1
518,Little Women ,2019,Drama,PG,135,Sony Pictures Entertainment (SPE),"$40,000,000","$108,101,214","$108,500,000","$216,601,214",7.8
519,Valentine's Day ,2010,Romance,PG-13,125,Warner Bros.,"$52,000,000","$110,485,654","$106,000,000","$216,485,654",5.7
520,Bad Teacher ,2011,Comedy,R,92,Sony Pictures Entertainment (SPE),"$20,000,000","$100,292,856","$115,904,636","$216,197,492",5.7
521,Ted 2 ,2015,Comedy,R,115,Universal Pictures,"$68,000,000","$81,476,385","$134,387,221","$215,863,606",6.3
522,Vertical Limit ,2000,Drama,PG-13,124,Sony Pictures Entertainment (SPE),"$75,000,000","$69,243,859","$146,420,000","$215,663,859",5.9
523,The Patriot ,2000,Drama,R,165,Sony Pictures Entertainment (SPE),"$110,000,000","$113,330,342","$101,964,000","$215,294,342",7.2
524,The Sorcerer's Apprentice ,2010,Fantasy,PG,109,Walt Disney Studios Motion Pictures,"$150,000,000","$63,150,991","$152,132,751","$215,283,742",6.1
525,Just Go with It ,2011,Comedy,PG-13,117,Sony Pictures Entertainment (SPE),"$80,000,000","$103,028,109","$111,917,482","$214,945,591",6.4
526,Creed II ,2018,Sport,PG-13,130,Metro-Goldwyn-Mayer (MGM),"$50,000,000","$115,715,889","$98,500,000","$214,215,889",7.1
527,Public Enemies ,2009,Drama,R,140,Universal Pictures,"$100,000,000","$97,104,620","$117,000,000","$214,104,620",7.0
528,The Bourne Identity ,2002,Thriller,PG-13,119,Universal Pictures,"$60,000,000","$121,661,683","$92,372,541","$214,034,224",7.8
529,The Aviator ,2004,Biography,PG-13,170,Miramax,"$110,000,000","$102,610,330","$111,109,612","$213,719,942",7.5
530,"Crouching Tiger, Hidden Dragon ",2000,Fantasy,PG-13,120,Sony Pictures Classics,"$17,000,000","$128,078,872","$85,446,864","$213,525,736",7.9
531,Into the Woods ,2014,Fantasy,PG,125,Walt Disney Studios Motion Pictures,"$50,000,000","$128,002,372","$84,900,000","$212,902,372",5.9
532,Bedtime Stories ,2008,Fantasy,PG,99,Walt Disney Studios Motion Pictures,"$80,000,000","$110,101,975","$102,772,889","$212,874,864",6.0
533,Miss Congeniality ,2000,Romance,PG-13,109,Warner Bros.,"$45,000,000","$106,807,667","$105,935,053","$212,742,720",6.3
534,Bridget Jones's Baby ,2016,Drama,R,123,Universal Pictures,"$35,000,000","$24,252,420","$187,700,000","$211,952,420",6.5
535,Battle Los Angeles ,2011,Sci-Fi,PG-13,116,Sony Pictures Entertainment (SPE),"$70,000,000","$83,552,429","$128,266,925","$211,819,354",5.7
536,Fury ,2014,War,R,134,Sony Pictures Entertainment (SPE),"$68,000,000","$85,817,906","$126,000,000","$211,817,906",7.6
537,Australia ,2008,Adventure,PG-13,165,Twentieth Century Fox,"$130,000,000","$49,554,002","$162,233,509","$211,787,511",6.6
538,Due Date ,2010,Drama,R,95,Warner Bros.,"$65,000,000","$100,539,043","$111,241,781","$211,780,824",6.5
539,Master and Commander: The Far Side of the World ,2003,Adventure,PG-13,138,Twentieth Century Fox,"$150,000,000","$93,927,920","$117,694,615","$211,622,535",7.5
540,A Series of Unfortunate Events ,2004,Fantasy,PG,108,Paramount Pictures,"$140,000,000","$118,634,549","$92,833,686","$211,468,235",6.8
541,District 9 ,2009,Sci-Fi,R,112,TriStar Pictures,"$30,000,000","$115,646,235","$95,242,715","$210,888,950",7.9
542,The Others ,2001,Mystery,PG-13,101,Miramax,"$17,000,000","$96,522,687","$113,424,350","$209,947,037",7.6
543,Horrible Bosses ,2011,Crime,R,98,Warner Bros.,"$35,000,000","$117,538,559","$92,300,000","$209,838,559",6.9
544,Red Dragon ,2002,Drama,R,124,Universal Pictures,"$78,000,000","$93,149,898","$116,046,400","$209,196,298",7.2
545,Tomorrowland ,2015,Family,PG,130,Walt Disney Studios Motion Pictures,"$190,000,000","$93,436,322","$115,599,346","$209,035,668",6.4
546,Me Before You ,2016,Romance,PG-13,106,Warner Bros.,"$20,000,000","$56,245,075","$152,069,111","$208,314,186",7.4
547,Safe House ,2012,Thriller,R,115,Universal Pictures,"$85,000,000","$126,373,434","$81,702,771","$208,076,205",6.7
548,S.W.A.T. ,2003,Thriller,PG-13,117,Sony Pictures Entertainment (SPE),"$80,000,000","$116,934,650","$90,790,989","$207,725,639",6.0
549,The Fast and the Furious ,2001,Thriller,PG-13,106,Universal Pictures,"$38,000,000","$144,533,925","$62,750,000","$207,283,925",6.8
550,Paranormal Activity 3 ,2011,Mystery,R,83,Paramount Pictures,"$5,000,000","$104,028,807","$103,011,037","$207,039,844",5.8
551,Sleepy Hollow ,1999,Fantasy,R,105,Paramount Pictures,"$100,000,000","$101,071,502","$105,000,000","$206,071,502",7.3
552,The Holiday ,2006,Comedy,PG-13,136,Sony Pictures Entertainment (SPE),"$85,000,000","$63,224,849","$142,617,036","$205,841,885",6.9
