,title_without_year,year,main_genre,MPAA-Rating,Runtime,Distributor,Budget_$,Domestic_$,International_$,total_revenue_$
1248,Zodiac ,2007,Thriller,R,157,Paramount Pictures,"$65,000,000","$33,080,084","$51,705,830","$84,785,914"
320,The Animal ,2001,Comedy,PG-13,84,Revolution Studios,"$47,000,000","$57,743,062","$27,029,680","$84,772,742"
1036,Jackass Number Two ,2006,Documentary,R,92,Paramount Pictures,"$11,500,000","$72,778,712","$11,866,452","$84,645,164"
2354,The Judge ,2014,Crime,R,141,Warner Bros.,"$50,000,000","$47,119,388","$37,300,000","$84,419,388"
1222,Premonition ,2007,Thriller,PG-13,96,Sony Pictures Entertainment (SPE),"$20,000,000","$47,852,604","$36,294,228","$84,146,832"
1238,Pan's Labyrinth ,2006,Fantasy,R,118,Picturehouse,"$19,000,000","$37,634,615","$46,215,652","$83,850,267"
1753,Marmaduke ,2010,Family,PG,99,Twentieth Century Fox,"$50,000,000","$33,644,788","$50,117,056","$83,761,844"
1771,Piranha 3D ,2010,Horror,R,88,Dimension Films,"$24,000,000","$25,003,155","$58,185,010","$83,188,165"
1785,Oceans ,2010,Documentary,,104,Walt Disney Studios Motion Pictures,"$80,000,000","$19,422,319","$63,668,237","$83,090,556"
2039,Savages ,2012,Thriller,R,131,Universal Pictures,"$45,000,000","$47,382,068","$35,584,084","$82,966,152"
1891,"Big Mommas: Like Father, Like Son ",2011,Comedy,PG-13,107,Twentieth Century Fox,"$32,000,000","$37,915,414","$44,770,652","$82,686,066"
2036,Sinister ,2012,Mystery,R,110,Lionsgate,"$3,000,000","$48,086,903","$34,428,210","$82,515,113"
2008,Act of Valor ,2012,Thriller,R,110,Relativity Media,"$12,000,000","$70,012,847","$12,484,188","$82,497,035"
917,The Constant Gardener ,2005,Romance,R,129,Focus Features,"$25,000,000","$33,579,797","$48,886,873","$82,466,670"
1396,The Strangers ,2008,Horror,R,86,Rogue Pictures,"$9,000,000","$52,597,610","$29,812,846","$82,410,456"
2533,Hitman: Agent 47 ,2015,Crime,R,96,Twentieth Century Fox,"$35,000,000","$22,467,450","$59,880,206","$82,347,656"
415,Reign of Fire ,2002,Adventure,PG-13,101,Walt Disney Studios Motion Pictures,"$60,000,000","$43,061,982","$39,088,201","$82,150,183"
748,Catwoman ,2004,Fantasy,PG-13,104,Warner Bros.,"$100,000,000","$40,202,379","$41,900,000","$82,102,379"
1914,Abduction ,2011,Thriller,PG-13,106,Lionsgate,"$35,000,000","$28,087,155","$54,000,000","$82,087,155"
1069,Hostel ,2006,Horror,R,94,Lionsgate,"$4,800,000","$47,326,473","$34,653,353","$81,979,826"
2060,Frankenweenie ,2012,Horror,PG,87,Walt Disney Studios Motion Pictures,"$39,000,000","$35,291,068","$46,200,000","$81,491,068"
1738,Edge of Darkness ,2010,Crime,R,117,Warner Bros.,"$80,000,000","$43,313,890","$37,812,632","$81,126,522"
2841,Underworld: Blood Wars ,2017,Adventure,R,91,Screen Gems,"$35,000,000","$30,353,973","$50,739,340","$81,093,313"
616,Sinbad: Legend of the Seven Seas ,2003,Family,PG,88,DreamWorks Distribution,"$60,000,000","$26,483,452","$54,289,625","$80,773,077"
397,The Rookie ,2002,Family,,127,Walt Disney Studios Motion Pictures,"$22,000,000","$75,600,072","$5,093,465","$80,693,537"
579,The Rundown ,2003,Adventure,PG-13,104,Universal Pictures,"$85,000,000","$47,726,342","$32,931,579","$80,657,921"
1750,Vampires Suck ,2010,Horror,PG-13,82,Twentieth Century Fox,"$20,000,000","$36,661,504","$43,886,362","$80,547,866"
2345,Muppets Most Wanted ,2014,Family,PG,107,Walt Disney Studios Motion Pictures,"$50,000,000","$51,183,113","$29,200,000","$80,383,113"
325,Exit Wounds ,2001,Crime,R,101,Warner Bros.,"$50,000,000","$51,758,599","$28,200,000","$79,958,599"
2484,The Wedding Ringer ,2015,Comedy,R,101,Screen Gems,"$23,000,000","$64,460,211","$15,339,669","$79,799,880"
404,Jackass: The Movie ,2002,Comedy,R,87,Paramount Pictures,"$5,000,000","$64,255,312","$15,238,519","$79,493,831"
1726,Letters to Juliet ,2010,Adventure,PG,105,Summit Entertainment,"$30,000,000","$53,032,453","$26,260,991","$79,293,444"
923,Stealth ,2005,Action,PG-13,121,Sony Pictures Entertainment (SPE),"$135,000,000","$32,116,746","$47,151,576","$79,268,322"
2686,Manchester by the Sea ,2016,Drama,R,137,Roadside Attractions,"$9,000,000","$47,695,371","$31,292,777","$78,988,148"
2541,Paranormal Activity: The Ghost Dimension ,2015,Mystery,R,88,Paramount Pictures,"$10,000,000","$18,300,124","$60,603,000","$78,903,124"
2645,The Boss ,2016,Comedy,R,99,Universal Pictures,"$29,000,000","$63,285,885","$15,558,697","$78,844,582"
1413,Righteous Kill ,2008,Crime,R,101,Overture Films,"$60,000,000","$40,081,410","$38,379,289","$78,460,699"
2205,The Family ,2013,Crime,R,111,Relativity Media,"$30,000,000","$36,918,811","$41,500,000","$78,418,811"
426,Collateral Damage ,2002,Thriller,R,108,Warner Bros.,"$85,000,000","$40,077,257","$38,305,176","$78,382,433"
2212,Scary Movie V ,2013,Comedy,PG-13,88,Dimension Films,"$20,000,000","$32,015,787","$46,362,957","$78,378,744"
2208,R.I.P.D. ,2013,Comedy,PG-13,96,Universal Pictures,"$130,000,000","$33,618,855","$44,705,365","$78,324,220"
1912,Priest ,2011,Sci-Fi,PG-13,87,Screen Gems,"$60,000,000","$29,137,000","$49,172,505","$78,309,505"
2349,If I Stay ,2014,Romance,PG-13,107,Warner Bros.,"$11,000,000","$50,474,843","$27,800,000","$78,274,843"
1582,Duplicity ,2009,Comedy,PG-13,125,Universal Pictures,"$60,000,000","$40,572,825","$37,603,356","$78,176,181"
2980,Tag ,2018,Action,R,100,Warner Bros.,"$28,000,000","$54,730,625","$23,400,000","$78,130,625"
746,Exorcist: The Beginning ,2004,Horror,R,114,Warner Bros.,"$80,000,000","$41,821,986","$36,288,035","$78,110,021"
430,Showtime ,2002,Crime,PG-13,95,Warner Bros.,"$85,000,000","$38,082,712","$39,659,020","$77,741,732"
1244,The Number 23 ,2007,Crime,R,98,New Line Cinema,"$30,000,000","$35,193,167","$42,484,386","$77,677,553"
420,Windtalkers ,2002,Action,R,134,Metro-Goldwyn-Mayer (MGM),"$115,000,000","$40,914,068","$36,714,197","$77,628,265"
1748,The Back-up Plan ,2010,Romance,PG-13,104,CBS Films,"$35,000,000","$37,490,007","$39,987,001","$77,477,008"
1316,The Lives of Others ,2007,Thriller,R,137,Sony Pictures Classics,"$2,000,000","$11,286,112","$66,070,830","$77,356,942"
2035,Diary of a Wimpy Kid: Dog Days ,2012,Comedy,PG,94,Twentieth Century Fox,"$22,000,000","$49,008,662","$28,221,033","$77,229,695"
2663,Mike and Dave Need Wedding Dates ,2016,Romance,R,98,Twentieth Century Fox,"$33,000,000","$46,009,673","$31,058,573","$77,068,246"
396,Barbershop ,2002,Comedy,PG-13,102,Metro-Goldwyn-Mayer (MGM),"$12,000,000","$75,782,105","$1,281,819","$77,063,924"
2393,"I, Frankenstein ",2014,Sci-Fi,PG-13,92,Lionsgate,"$65,000,000","$19,075,290","$57,725,889","$76,801,179"
1097,United 93 ,2006,Thriller,R,111,Universal Pictures,"$15,000,000","$31,483,450","$45,217,209","$76,700,659"
749,The Ladykillers ,2004,Comedy,R,104,Walt Disney Studios Motion Pictures,"$35,000,000","$39,799,191","$36,866,000","$76,665,191"
1578,The Unborn ,2009,Horror,PG-13,88,Universal Pictures,"$16,000,000","$42,670,410","$33,843,640","$76,514,050"
571,Bad Santa ,2003,Crime,R,92,Dimension Films,"$23,000,000","$60,060,328","$16,428,561","$76,488,889"
237,The Road to El Dorado ,2000,Musical,PG,89,DreamWorks Distribution,"$95,000,000","$50,863,742","$25,568,985","$76,432,727"
3168,Cold Pursuit ,2019,Comedy,R,119,Lionsgate,"$60,000,000","$32,138,862","$44,280,893","$76,419,755"
249,The Original Kings of Comedy ,2000,Comedy,R,115,Paramount Pictures,"$13,000,000","$38,182,790","$38,182,790","$76,365,580"
2660,Kubo and the Two Strings ,2016,Action,PG,101,Focus Features,"$60,000,000","$48,023,088","$28,226,350","$76,249,438"
1712,Diary of a Wimpy Kid ,2010,Family,PG,120,Twentieth Century Fox,"$15,000,000","$64,003,625","$12,192,913","$76,196,538"
1414,There Will Be Blood ,2007,Drama,R,158,Paramount Vantage,"$25,000,000","$40,222,514","$35,959,031","$76,181,545"
1913,The Mechanic ,2011,Crime,R,93,CBS Films,"$40,000,000","$29,121,498","$47,008,595","$76,130,093"
1589,The Pink Panther 2 ,2009,Family,PG,92,Sony Pictures Entertainment (SPE),"$70,000,000","$35,922,978","$40,102,156","$76,025,134"
1422,Death Race ,2008,Sci-Fi,R,105,Universal Pictures,"$45,000,000","$36,316,032","$39,698,303","$76,014,335"
2999,Widows ,2018,Crime,R,129,Twentieth Century Fox,"$42,000,000","$42,402,632","$33,582,068","$75,984,700"
1617,Revolutionary Road ,2008,Romance,R,119,Paramount Vantage,"$35,000,000","$22,911,480","$53,069,700","$75,981,180"
602,Dreamcatcher ,2003,Horror,R,136,Warner Bros.,"$68,000,000","$33,715,436","$42,000,000","$75,715,436"
1232,30 Days of Night ,2007,Thriller,R,113,Sony Pictures Entertainment (SPE),"$30,000,000","$39,569,000","$35,944,170","$75,513,170"
1211,Stomp the Yard ,2007,Music,PG-13,115,Screen Gems,"$13,000,000","$61,356,221","$14,154,902","$75,511,123"
1897,The Change-Up ,2011,Comedy,R,112,Universal Pictures,"$52,000,000","$37,081,475","$38,368,962","$75,450,437"
3009,The Spy Who Dumped Me ,2018,Comedy,R,117,Lionsgate,"$40,000,000","$33,562,069","$41,758,611","$75,320,680"
1319,Dragon Wars: D-War ,2007,Horror,PG-13,107,Freestyle Releasing,"$32,000,000","$10,977,721","$64,131,096","$75,108,817"
1722,Easy A ,2010,Comedy,PG-13,92,Screen Gems,"$8,000,000","$58,401,464","$16,624,752","$75,026,216"
2637,Boo! A Madea Halloween ,2016,Comedy,PG-13,103,Lionsgate,"$20,000,000","$73,206,343","$1,621,001","$74,827,344"
3135,A Madea Family Funeral ,2019,Comedy,PG-13,109,Lionsgate,"$20,000,000","$73,257,045","$1,490,680","$74,747,725"
2517,Crimson Peak ,2015,Fantasy,R,119,Universal Pictures,"$55,000,000","$31,090,320","$43,589,502","$74,679,822"
2186,Escape from Planet Earth ,2013,Sci-Fi,PG,89,The Weinstein Company,"$40,000,000","$57,012,977","$17,584,666","$74,597,643"
238,The Hurricane ,1999,Sport,R,146,Universal Pictures,"$50,000,000","$50,699,241","$23,257,000","$73,956,241"
400,Divine Secrets of the Ya-Ya Sisterhood ,2002,Drama,PG-13,116,Warner Bros.,"$27,000,000","$69,599,016","$4,240,224","$73,839,240"
3195,Cats ,2019,Musical,PG,110,Universal Pictures,"$95,000,000","$27,166,770","$46,666,689","$73,833,459"
606,The Core ,2003,Adventure,PG-13,135,Paramount Pictures,"$60,000,000","$31,186,896","$42,311,715","$73,498,611"
3199,Charlie's Angels ,2019,Action,PG-13,118,Sony Pictures Entertainment (SPE),"$48,000,000","$17,803,077","$55,476,811","$73,279,888"
