,title_without_year,year,main_genre,MPAA-Rating,Runtime,Distributor,Budget_$,Domestic_$,International_$,total_revenue_$
103,Avatar ,2009,Action,PG-13,162,Twentieth Century Fox,"$237,000,000","$749,766,139","$1,993,811,448","$2,743,577,587"
1,Star Wars: Episode VII - The Force Awakens ,2015,Action,PG-13,138,Walt Disney Studios Motion Pictures,"$245,000,000","$936,662,225","$1,131,561,399","$2,068,223,624"
0,Jurassic World ,2015,Sci-Fi,PG-13,124,Universal Pictures,"$150,000,000","$652,270,625","$1,018,130,012","$1,670,400,637"
188,The Lion King ,2019,Adventure,PG,118,Walt Disney Studios Motion Pictures,"$260,000,000","$543,638,043","$1,113,305,351","$1,656,943,394"
128,The Avengers ,2012,Adventure,PG-13,143,Walt Disney Studios Motion Pictures,"$220,000,000","$623,357,910","$895,455,078","$1,518,812,988"
4,Furious 7 ,2015,Thriller,PG-13,137,Universal Pictures,"$190,000,000","$353,007,020","$1,162,040,651","$1,515,047,671"
190,Frozen II ,2019,Fantasy,PG,103,Walt Disney Studios Motion Pictures,"$150,000,000","$477,373,578","$972,653,355","$1,450,026,933"
2,Avengers: Age of Ultron ,2015,Action,PG-13,141,Walt Disney Studios Motion Pictures,"$250,000,000","$459,005,868","$943,800,000","$1,402,805,868"
167,Star Wars: Episode VIII - The Last Jedi ,2017,Action,PG-13,152,Walt Disney Studios Motion Pictures,"$317,000,000","$620,181,382","$712,358,507","$1,332,539,889"
180,Jurassic World: Fallen Kingdom ,2018,Sci-Fi,PG-13,128,Universal Pictures,"$170,000,000","$417,719,760","$890,748,184","$1,308,467,944"
143,Frozen ,2013,Family,PG,102,Walt Disney Studios Motion Pictures,"$150,000,000","$400,738,009","$880,064,273","$1,280,802,282"
168,Beauty and the Beast ,2017,Family,PG,129,Walt Disney Studios Motion Pictures,"$160,000,000","$504,014,165","$759,506,961","$1,263,521,126"
176,The Fate of the Furious ,2017,Crime,PG-13,136,Universal Pictures,"$250,000,000","$226,008,385","$1,009,996,733","$1,236,005,118"
138,Iron Man 3 ,2013,Adventure,PG-13,130,Walt Disney Studios Motion Pictures,"$200,000,000","$409,013,994","$805,797,258","$1,214,811,252"
6,Minions ,2015,Animation,PG,91,Universal Pictures,"$74,000,000","$336,045,770","$823,352,627","$1,159,398,397"
160,Captain America: Civil War ,2016,Sci-Fi,PG-13,147,Walt Disney Studios Motion Pictures,"$250,000,000","$408,084,349","$745,211,944","$1,153,296,293"
42,The Lord of the Rings: The Return of the King ,2003,Adventure,PG-13,201,New Line Cinema,"$94,000,000","$377,027,325","$763,654,686","$1,140,682,011"
193,Spider-Man: Far from Home ,2019,Sci-Fi,PG-13,129,Sony Pictures Entertainment (SPE),"$160,000,000","$390,532,085","$741,395,911","$1,131,927,996"
191,Captain Marvel ,2019,Adventure,PG-13,123,Walt Disney Studios Motion Pictures,"$160,000,000","$426,829,839","$701,444,955","$1,128,274,794"
119,Transformers: Dark of the Moon ,2011,Action,PG-13,154,DreamWorks,"$195,000,000","$352,390,543","$771,403,536","$1,123,794,079"
131,Skyfall ,2012,Adventure,PG-13,143,Sony Pictures Entertainment (SPE),"$200,000,000","$304,360,277","$804,200,736","$1,108,561,013"
152,Transformers: Age of Extinction ,2014,Sci-Fi,PG-13,165,Paramount Pictures,"$210,000,000","$245,439,076","$858,614,996","$1,104,054,072"
129,The Dark Knight Rises ,2012,Action,PG-13,164,Warner Bros.,"$250,000,000","$448,139,099","$632,902,188","$1,081,041,287"
195,Joker ,2019,Thriller,R,122,Warner Bros.,"$55,000,000","$335,451,311","$738,800,000","$1,074,251,311"
192,Star Wars: Episode IX - The Rise of Skywalker ,2019,Action,PG-13,141,Walt Disney Studios Motion Pictures,"$275,000,000","$515,202,542","$558,941,706","$1,074,144,248"
189,Toy Story 4 ,2019,Animation,G,100,Walt Disney Studios Motion Pictures,"$200,000,000","$434,038,008","$639,356,585","$1,073,394,593"
109,Toy Story 3 ,2010,Fantasy,,103,Walt Disney Studios Motion Pictures,"$200,000,000","$415,004,880","$651,964,823","$1,066,969,703"
69,Pirates of the Caribbean: Dead Man's Chest ,2006,Action,PG-13,151,Walt Disney Studios Motion Pictures,"$225,000,000","$423,315,812","$642,863,913","$1,066,179,725"
159,Rogue One: A Star Wars Story ,2016,Sci-Fi,PG-13,133,Walt Disney Studios Motion Pictures,"$200,000,000","$532,177,324","$523,879,949","$1,056,057,273"
194,Aladdin ,2019,Romance,PG,128,Walt Disney Studios Motion Pictures,"$183,000,000","$355,559,216","$695,134,737","$1,050,693,953"
122,Pirates of the Caribbean: On Stranger Tides ,2011,Adventure,PG-13,137,Walt Disney Studios Motion Pictures,"$250,000,000","$241,071,802","$804,642,000","$1,045,713,802"
174,Despicable Me 3 ,2017,Adventure,PG,89,Universal Pictures,"$80,000,000","$264,624,300","$770,175,109","$1,034,799,409"
110,Alice in Wonderland ,2010,Family,PG,108,Walt Disney Studios Motion Pictures,"$200,000,000","$334,191,110","$691,276,000","$1,025,467,110"
89,The Dark Knight ,2008,Thriller,PG-13,152,Warner Bros.,"$185,000,000","$533,345,358","$469,700,000","$1,003,045,358"
19,Harry Potter and the Sorcerer's Stone ,2001,Family,PG,152,Warner Bros.,"$125,000,000","$317,575,550","$657,179,821","$974,755,371"
140,Despicable Me 2 ,2013,Family,PG,98,Universal Pictures,"$76,000,000","$368,065,385","$602,700,620","$970,766,005"
162,The Jungle Book ,2016,Family,PG,106,Walt Disney Studios Motion Pictures,"$175,000,000","$364,001,123","$602,549,477","$966,550,600"
183,Jumanji: Welcome to the Jungle ,2017,Comedy,PG-13,119,Sony Pictures Entertainment (SPE),"$90,000,000","$404,515,480","$557,562,066","$962,077,546"
82,Pirates of the Caribbean: At World's End ,2007,Action,PG-13,169,Walt Disney Studios Motion Pictures,"$300,000,000","$309,420,425","$651,576,067","$960,996,492"
83,Harry Potter and the Order of the Phoenix ,2007,Mystery,PG-13,138,Warner Bros.,"$150,000,000","$292,004,738","$649,672,105","$941,676,843"
100,Harry Potter and the Half-Blood Prince ,2009,Action,PG,153,Warner Bros.,"$250,000,000","$301,959,197","$632,000,000","$933,959,197"
49,Shrek 2 ,2004,Animation,PG,93,DreamWorks Distribution,"$150,000,000","$441,226,247","$487,534,523","$928,760,770"
2942,Bohemian Rhapsody ,2018,Music,PG-13,134,Twentieth Century Fox,"$52,000,000","$216,428,042","$687,227,217","$903,655,259"
60,Harry Potter and the Goblet of Fire ,2005,Mystery,PG-13,157,Warner Bros.,"$150,000,000","$290,013,036","$605,908,000","$895,921,036"
79,Spider-Man 3 ,2007,Action,PG-13,139,Sony Pictures Entertainment (SPE),"$258,000,000","$336,530,303","$558,453,070","$894,983,373"
107,Ice Age: Dawn of the Dinosaurs ,2009,Animation,PG,94,Twentieth Century Fox,"$90,000,000","$196,573,705","$690,113,112","$886,686,817"
2450,Spectre ,2015,Adventure,PG-13,148,Sony Pictures Entertainment (SPE),"$245,000,000","$200,074,609","$680,600,000","$880,674,609"
171,Spider-Man: Homecoming ,2017,Adventure,PG-13,133,Sony Pictures Entertainment (SPE),"$175,000,000","$334,201,140","$545,965,784","$880,166,924"
31,Harry Potter and the Chamber of Secrets ,2002,Mystery,PG,161,Warner Bros.,"$100,000,000","$261,988,482","$616,991,152","$878,979,634"
1985,Ice Age: Continental Drift ,2012,Fantasy,PG,88,Twentieth Century Fox,"$95,000,000","$161,321,843","$715,922,939","$877,244,782"
161,The Secret Life of Pets ,2016,Animation,PG,87,Universal Pictures,"$75,000,000","$368,384,330","$507,073,607","$875,457,937"
165,Batman v Superman: Dawn of Justice ,2016,Action,PG-13,152,Warner Bros.,"$250,000,000","$330,360,194","$543,274,725","$873,634,919"
39,Finding Nemo ,2003,Family,,100,Walt Disney Studios Motion Pictures,"$94,000,000","$339,714,978","$531,300,000","$871,014,978"
2932,Wolf Warrior 2 ,2017,Thriller,,123,The H Collective,"$30,100,000","$2,721,100","$867,604,339","$870,325,439"
59,Star Wars: Episode III - Revenge of the Sith ,2005,Adventure,PG-13,140,Twentieth Century Fox,"$113,000,000","$380,270,577","$488,081,953","$868,352,530"
139,The Hunger Games: Catching Fire ,2013,Action,PG-13,146,Lionsgate,"$130,000,000","$424,668,047","$440,343,699","$865,011,746"
170,Guardians of the Galaxy Vol. 2 ,2017,Comedy,PG-13,136,Walt Disney Studios Motion Pictures,"$200,000,000","$389,813,101","$473,942,950","$863,756,051"
3,Inside Out ,2015,Adventure,PG,95,Walt Disney Studios Motion Pictures,"$175,000,000","$356,461,711","$501,149,463","$857,611,174"
2939,Venom ,2018,Adventure,PG-13,112,Sony Pictures Entertainment (SPE),"$100,000,000","$213,515,506","$642,569,645","$856,085,151"
173,Thor: Ragnarok ,2017,Action,PG-13,130,Walt Disney Studios Motion Pictures,"$180,000,000","$315,058,289","$538,918,837","$853,977,126"
99,Transformers: Revenge of the Fallen ,2009,Action,PG-13,149,DreamWorks,"$200,000,000","$402,111,870","$434,191,823","$836,303,693"
132,The Twilight Saga: Breaking Dawn - Part 2 ,2012,Adventure,PG-13,115,Lionsgate,"$120,000,000","$292,324,737","$537,422,083","$829,746,820"
113,Inception ,2010,Action,PG-13,148,Warner Bros.,"$160,000,000","$292,576,195","$533,560,993","$826,137,188"
169,Wonder Woman ,2017,Fantasy,PG-13,141,Warner Bros.,"$149,000,000","$412,563,408","$409,283,604","$821,847,012"
29,Spider-Man ,2002,Adventure,PG-13,121,Sony Pictures Entertainment (SPE),"$139,000,000","$403,706,375","$418,002,176","$821,708,551"
2608,Fantastic Beasts and Where to Find Them ,2016,Family,PG-13,132,Warner Bros.,"$180,000,000","$234,037,575","$580,000,000","$814,037,575"
80,Shrek the Third ,2007,Animation,PG,93,DreamWorks,"$160,000,000","$322,719,944","$490,647,436","$813,367,380"
200,Jumanji: The Next Level ,2019,Adventure,PG-13,123,Sony Pictures Entertainment (SPE),"$125,000,000","$320,314,960","$479,744,747","$800,059,707"
52,Harry Potter and the Prisoner of Azkaban ,2004,Adventure,PG,142,Warner Bros.,"$130,000,000","$249,541,069","$546,093,000","$795,634,069"
2781,Pirates of the Caribbean: Dead Men Tell No Tales ,2017,Adventure,PG-13,129,Walt Disney Studios Motion Pictures,"$230,000,000","$172,558,876","$622,302,918","$794,861,794"
184,Mission: Impossible - Fallout ,2018,Action,PG-13,147,Paramount Pictures,"$178,000,000","$220,159,104","$570,956,000","$791,115,104"
91,Indiana Jones and the Kingdom of the Crystal Skull ,2008,Adventure,PG-13,122,Paramount Pictures,"$185,000,000","$317,101,119","$473,552,823","$790,653,942"
145,Fast & Furious 6 ,2013,Thriller,PG-13,130,Universal Pictures,"$160,000,000","$238,679,850","$550,000,000","$788,679,850"
50,Spider-Man 2 ,2004,Action,PG-13,127,Sony Pictures Entertainment (SPE),"$200,000,000","$373,585,825","$415,032,492","$788,618,317"
163,Deadpool ,2016,Sci-Fi,R,108,Twentieth Century Fox,"$58,000,000","$363,070,709","$419,541,446","$782,612,155"
148,Guardians of the Galaxy ,2014,Sci-Fi,PG-13,121,Walt Disney Studios Motion Pictures,"$170,000,000","$333,176,600","$439,600,000","$772,776,600"
1526,2012 ,2009,Action,PG-13,158,Sony Pictures Entertainment (SPE),"$200,000,000","$166,112,167","$603,567,306","$769,679,473"
72,The Da Vinci Code ,2006,Thriller,PG-13,149,Sony Pictures Entertainment (SPE),"$125,000,000","$217,536,138","$542,470,807","$760,006,945"
3111,Fast & Furious Presents: Hobbs & Shaw ,2019,Action,,137,Universal Pictures,"$200,000,000","$173,956,935","$585,100,000","$759,056,935"
153,Maleficent ,2014,Adventure,PG,97,Walt Disney Studios Motion Pictures,"$180,000,000","$241,410,378","$517,000,000","$758,410,378"
133,The Amazing Spider-Man ,2012,Action,PG-13,136,Sony Pictures Entertainment (SPE),"$230,000,000","$262,030,663","$495,900,000","$757,930,663"
149,The Hunger Games: Mockingjay - Part 1 ,2014,Sci-Fi,PG-13,123,Lionsgate,"$125,000,000","$337,135,885","$418,220,826","$755,356,711"
116,Shrek Forever After ,2010,Fantasy,PG,93,DreamWorks,"$165,000,000","$238,736,787","$513,864,080","$752,600,867"
137,Madagascar 3: Europe's Most Wanted ,2012,Comedy,PG,95,DreamWorks,"$145,000,000","$216,391,482","$530,529,792","$746,921,274"
166,Suicide Squad ,2016,Adventure,PG-13,123,Warner Bros.,"$175,000,000","$325,100,054","$421,746,840","$746,846,894"
154,X-Men: Days of Future Past ,2014,Action,PG-13,132,Twentieth Century Fox,"$200,000,000","$233,921,534","$512,124,166","$746,045,700"
62,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",2005,Adventure,PG,143,Walt Disney Studios Motion Pictures,"$180,000,000","$291,710,957","$453,302,158","$745,013,115"
41,The Matrix Reloaded ,2003,Action,R,138,Warner Bros.,"$150,000,000","$281,576,461","$457,835,574","$739,412,035"
101,Up ,2009,Adventure,PG,96,Walt Disney Studios Motion Pictures,"$175,000,000","$293,004,164","$442,094,918","$735,099,082"
181,Deadpool 2 ,2018,Adventure,R,119,Twentieth Century Fox,"$110,000,000","$318,491,426","$416,055,185","$734,546,611"
150,Captain America: The Winter Soldier ,2014,Action,PG-13,136,Walt Disney Studios Motion Pictures,"$170,000,000","$259,766,572","$454,654,931","$714,421,503"
120,The Twilight Saga: Breaking Dawn - Part 1 ,2011,Fantasy,PG-13,117,Summit Entertainment,"$110,000,000","$281,287,133","$430,918,723","$712,205,856"
155,Dawn of the Planet of the Apes ,2014,Action,PG-13,130,Twentieth Century Fox,"$170,000,000","$208,545,589","$502,098,977","$710,644,566"
102,The Twilight Saga: New Moon ,2009,Fantasy,PG-13,130,Summit Entertainment,"$50,000,000","$296,623,634","$413,203,828","$709,827,462"
81,Transformers ,2007,Action,PG-13,144,DreamWorks,"$150,000,000","$319,246,193","$390,463,587","$709,709,780"
172,It ,2017,Horror,R,135,Warner Bros.,"$35,000,000","$327,481,748","$372,900,000","$700,381,748"
112,The Twilight Saga: Eclipse ,2010,Romance,PG-13,124,Summit Entertainment,"$68,000,000","$300,531,751","$397,959,596","$698,491,347"
1836,Mission: Impossible - Ghost Protocol ,2011,Action,PG-13,132,Paramount Pictures,"$145,000,000","$209,397,903","$485,315,477","$694,713,380"
130,The Hunger Games ,2012,Action,PG-13,142,Lionsgate,"$78,000,000","$408,010,692","$286,384,032","$694,394,724"
2451,Mission: Impossible - Rogue Nation ,2015,Adventure,PG-13,131,Paramount Pictures,"$150,000,000","$195,042,377","$487,671,890","$682,714,267"
2300,Interstellar ,2014,Sci-Fi,PG-13,169,Paramount Pictures,"$165,000,000","$188,020,017","$489,876,780","$677,896,797"
2607,Doctor Strange ,2016,Sci-Fi,PG-13,115,Walt Disney Studios Motion Pictures,"$165,000,000","$232,641,920","$445,076,475","$677,718,395"
273,The Sixth Sense ,1999,Mystery,PG-13,107,Walt Disney Studios Motion Pictures,"$40,000,000","$293,506,292","$379,300,000","$672,806,292"
141,Man of Steel ,2013,Action,PG-13,143,Warner Bros.,"$225,000,000","$291,045,518","$377,000,000","$668,045,518"
1828,Kung Fu Panda 2 ,2011,Adventure,PG,90,DreamWorks,"$150,000,000","$165,249,063","$500,443,218","$665,692,281"
74,Ice Age: The Meltdown ,2006,Comedy,PG,91,Twentieth Century Fox,"$80,000,000","$195,330,621","$465,668,135","$660,998,756"
7,The Hunger Games: Mockingjay - Part 2 ,2015,Thriller,PG-13,137,Lionsgate,"$160,000,000","$281,723,902","$376,620,235","$658,344,137"
156,Big Hero 6 ,2014,Sci-Fi,PG,102,Walt Disney Studios Motion Pictures,"$165,000,000","$222,527,828","$435,300,000","$657,827,828"
2948,Fantastic Beasts: The Crimes of Grindelwald ,2018,Family,PG-13,134,Warner Bros.,"$200,000,000","$159,555,901","$495,300,000","$654,855,901"
40,Pirates of the Caribbean: The Curse of the Black Pearl ,2003,Fantasy,PG-13,143,Walt Disney Studios Motion Pictures,"$140,000,000","$305,413,918","$348,850,097","$654,264,015"
30,Star Wars: Episode II - Attack of the Clones ,2002,Action,PG,142,Twentieth Century Fox,"$115,000,000","$302,191,252","$343,065,200","$645,256,452"
2139,Thor: The Dark World ,2013,Action,PG-13,112,Walt Disney Studios Motion Pictures,"$170,000,000","$206,362,140","$438,421,000","$644,783,140"
2614,Sing ,2016,Comedy,PG,108,Universal Pictures,"$75,000,000","$270,395,425","$363,756,254","$634,151,679"
94,Kung Fu Panda ,2008,Adventure,PG,92,DreamWorks,"$130,000,000","$215,434,591","$416,309,969","$631,744,560"
53,The Incredibles ,2004,Animation,,115,Walt Disney Studios Motion Pictures,"$92,000,000","$261,441,092","$370,001,000","$631,442,092"
8,The Martian ,2015,Sci-Fi,PG-13,144,Twentieth Century Fox,"$108,000,000","$228,433,663","$401,728,227","$630,161,890"
123,Fast Five ,2011,Thriller,PG-13,130,Universal Pictures,"$125,000,000","$209,837,675","$416,300,000","$626,137,675"
1983,Men in Black 3 ,2012,Sci-Fi,PG-13,106,Sony Pictures Entertainment (SPE),"$225,000,000","$179,020,854","$445,005,922","$624,026,776"
111,Iron Man 2 ,2010,Action,PG-13,124,Paramount Pictures,"$200,000,000","$312,433,331","$311,500,000","$623,933,331"
86,Ratatouille ,2007,Fantasy,G,111,Walt Disney Studios Motion Pictures,"$150,000,000","$206,445,654","$417,280,431","$623,726,085"
2301,How to Train Your Dragon 2 ,2014,Fantasy,PG,102,Twentieth Century Fox,"$145,000,000","$177,002,924","$444,534,595","$621,537,519"
51,The Passion of the Christ ,2004,Drama,R,127,Newmarket Films,"$30,000,000","$370,274,604","$241,212,132","$611,486,736"
1356,Mamma Mia! ,2008,Romance,PG-13,108,Universal Pictures,"$52,000,000","$144,130,063","$465,711,574","$609,841,637"
77,Casino Royale ,2006,Thriller,PG-13,144,Sony Pictures Entertainment (SPE),"$150,000,000","$167,445,960","$438,553,632","$605,999,592"
2787,Transformers: The Last Knight ,2017,Adventure,PG-13,154,Paramount Pictures,"$217,000,000","$130,168,683","$475,256,474","$605,425,157"
95,Madagascar: Escape 2 Africa ,2008,Animation,PG,89,DreamWorks,"$150,000,000","$180,010,950","$423,889,404","$603,900,354"
61,War of the Worlds ,2005,Sci-Fi,PG-13,116,Paramount Pictures,"$132,000,000","$234,280,354","$369,592,765","$603,873,119"
1681,Tangled ,2010,Family,PG,100,Walt Disney Studios Motion Pictures,"$260,000,000","$200,821,936","$391,639,796","$592,461,732"
97,Quantum of Solace ,2008,Adventure,PG-13,106,Sony Pictures Entertainment (SPE),"$200,000,000","$168,368,427","$421,212,055","$589,580,482"
2142,The Croods ,2013,Fantasy,PG,98,Twentieth Century Fox,"$135,000,000","$187,168,425","$400,036,243","$587,204,668"
121,The Hangover Part II ,2011,Comedy,R,102,Warner Bros.,"$80,000,000","$254,464,305","$332,300,000","$586,764,305"
87,I Am Legend ,2007,Action,PG-13,101,Warner Bros.,"$150,000,000","$256,393,010","$329,017,042","$585,410,052"
90,Iron Man ,2008,Adventure,PG-13,126,Paramount Pictures,"$140,000,000","$318,604,126","$266,762,121","$585,366,247"
2951,Ready Player One ,2018,Sci-Fi,PG-13,140,Warner Bros.,"$175,000,000","$137,690,172","$445,200,000","$582,890,172"
2782,Kong: Skull Island ,2017,Adventure,PG-13,118,Warner Bros.,"$185,000,000","$168,052,812","$398,600,000","$566,652,812"
1832,The Smurfs ,2011,Animation,PG,103,Sony Pictures Entertainment (SPE),"$110,000,000","$142,614,158","$421,135,165","$563,749,323"
854,King Kong ,2005,Action,PG-13,187,Universal Pictures,"$207,000,000","$218,080,025","$344,283,424","$562,363,449"
124,Cars 2 ,2011,Adventure,G,106,Walt Disney Studios Motion Pictures,"$200,000,000","$191,452,396","$368,400,000","$559,852,396"
1830,Puss in Boots ,2011,Family,PG,90,DreamWorks,"$130,000,000","$149,260,504","$405,726,973","$554,987,477"
54,The Day After Tomorrow ,2004,Thriller,PG-13,124,Twentieth Century Fox,"$125,000,000","$186,740,799","$365,898,772","$552,639,571"
136,Ted ,2012,Comedy,R,106,Universal Pictures,"$50,000,000","$218,815,487","$330,552,828","$549,368,315"
5,American Sniper ,2014,Biography,R,133,Warner Bros.,"$58,800,000","$350,126,372","$197,300,000","$547,426,372"
11,Mission: Impossible II ,2000,Thriller,PG-13,123,Paramount Pictures,"$125,000,000","$215,409,889","$330,978,219","$546,388,108"
2613,X-Men: Apocalypse ,2016,Action,PG-13,144,Twentieth Century Fox,"$178,000,000","$155,442,489","$388,491,616","$543,934,105"
115,Despicable Me ,2010,Fantasy,PG,95,Universal Pictures,"$69,000,000","$251,513,985","$291,600,000","$543,113,985"
9,Cinderella ,2015,Romance,PG,105,Walt Disney Studios Motion Pictures,"$95,000,000","$201,151,353","$341,200,000","$542,351,353"
2140,World War Z ,2013,Sci-Fi,PG-13,116,Paramount Pictures,"$190,000,000","$202,359,711","$337,648,165","$540,007,876"
134,Brave ,2012,Animation,PG,93,Walt Disney Studios Motion Pictures,"$185,000,000","$237,283,207","$301,700,000","$538,983,207"
88,The Simpsons Movie ,2007,Adventure,PG-13,87,Twentieth Century Fox,"$75,000,000","$183,135,014","$353,279,256","$536,414,270"
2610,The Revenant ,2015,History,R,156,Twentieth Century Fox,"$135,000,000","$183,637,894","$349,312,609","$532,950,503"
2949,The Meg ,2018,Horror,PG-13,113,Warner Bros.,"$130,000,000","$145,443,742","$384,800,000","$530,243,742"
2944,Ralph Breaks the Internet ,2018,Comedy,PG,112,Walt Disney Studios Motion Pictures,"$175,000,000","$201,091,711","$328,232,251","$529,323,962"
21,"Monsters, Inc. ",2001,Animation,G,92,Walt Disney Studios Motion Pictures,"$115,000,000","$255,873,250","$272,900,000","$528,773,250"
2946,Hotel Transylvania 3: Summer Vacation ,2018,Family,PG,97,Sony Pictures Entertainment (SPE),"$80,000,000","$167,510,016","$361,073,758","$528,583,774"
2296,Godzilla ,2014,Sci-Fi,PG-13,123,Warner Bros.,"$160,000,000","$200,676,069","$324,300,000","$524,976,069"
1542,Sherlock Holmes ,2009,Action,PG-13,128,Warner Bros.,"$90,000,000","$209,028,679","$315,000,000","$524,028,679"
695,Meet the Fockers ,2004,Comedy,PG-13,115,Universal Pictures,"$80,000,000","$279,261,160","$243,396,776","$522,657,936"
3113,How to Train Your Dragon: The Hidden World ,2019,Action,PG,104,Universal Pictures,"$129,000,000","$160,799,505","$361,000,000","$521,799,505"
93,WALL·E ,2008,Adventure,,98,Walt Disney Studios Motion Pictures,"$180,000,000","$223,808,164","$297,503,696","$521,311,860"
2616,Kung Fu Panda 3 ,2016,Comedy,PG,95,Twentieth Century Fox,"$145,000,000","$143,528,619","$377,642,206","$521,170,825"
2453,Ant-Man ,2015,Adventure,PG-13,117,Walt Disney Studios Motion Pictures,"$130,000,000","$180,202,163","$339,109,802","$519,311,965"
182,The Grinch ,2018,Animation,PG,85,Universal Pictures,"$75,000,000","$270,620,950","$240,975,007","$511,595,957"
2306,Rio 2 ,2014,Animation,G,101,Twentieth Century Fox,"$103,000,000","$131,538,435","$367,242,682","$498,781,117"
694,Troy ,2004,History,R,163,Warner Bros.,"$175,000,000","$133,378,256","$364,031,596","$497,409,852"
117,How to Train Your Dragon ,2010,Animation,PG,98,DreamWorks,"$165,000,000","$217,581,231","$277,297,528","$494,878,759"
146,Oz the Great and Powerful ,2013,Adventure,PG,130,Walt Disney Studios Motion Pictures,"$215,000,000","$234,911,825","$258,400,000","$493,311,825"
1679,Clash of the Titans ,2010,Adventure,PG-13,106,Warner Bros.,"$125,000,000","$163,214,888","$330,000,105","$493,214,993"
3120,Maleficent: Mistress of Evil ,2019,Adventure,PG,119,Walt Disney Studios Motion Pictures,"$185,000,000","$113,929,605","$377,800,484","$491,730,089"
67,Mr. & Mrs. Smith ,2005,Crime,PG-13,120,Twentieth Century Fox,"$110,000,000","$186,336,279","$300,951,367","$487,287,646"
240,Toy Story 2 ,1999,Adventure,,92,Walt Disney Studios Motion Pictures,"$90,000,000","$245,852,179","$241,207,498","$487,059,677"
1532,Angels & Demons ,2009,Mystery,PG-13,138,Sony Pictures Entertainment (SPE),"$150,000,000","$133,375,846","$352,554,970","$485,930,816"
2298,Teenage Mutant Ninja Turtles ,2014,Action,PG-13,101,Paramount Pictures,"$125,000,000","$191,204,754","$293,800,000","$485,004,754"
43,Bruce Almighty ,2003,Fantasy,PG-13,101,Universal Pictures,"$81,000,000","$242,829,261","$241,763,613","$484,592,874"
20,Shrek ,2001,Fantasy,PG,90,DreamWorks Distribution,"$60,000,000","$267,665,011","$216,744,207","$484,409,218"
1831,Rio ,2011,Musical,PG,96,Twentieth Century Fox,"$90,000,000","$143,619,809","$340,246,709","$483,866,518"
126,Rise of the Planet of the Apes ,2011,Action,PG-13,105,Twentieth Century Fox,"$93,000,000","$176,760,185","$305,040,688","$481,800,873"
64,Charlie and the Chocolate Factory ,2005,Family,PG,115,Warner Bros.,"$150,000,000","$206,459,076","$268,509,687","$474,968,763"
2455,Hotel Transylvania 2 ,2015,Fantasy,PG,89,Sony Pictures Entertainment (SPE),"$80,000,000","$169,700,110","$305,099,890","$474,800,000"
2459,San Andreas ,2015,Action,PG-13,114,Warner Bros.,"$110,000,000","$155,190,832","$318,800,000","$473,990,832"
196,It Chapter Two ,2019,Fantasy,R,169,Warner Bros.,"$79,000,000","$211,593,228","$261,500,000","$473,093,228"
1984,Wreck-It Ralph ,2012,Animation,PG,101,Walt Disney Studios Motion Pictures,"$165,000,000","$189,422,889","$281,800,000","$471,222,889"
104,The Hangover ,2009,Comedy,R,100,Warner Bros.,"$35,000,000","$277,322,503","$191,490,290","$468,812,793"
151,The Lego Movie ,2014,Fantasy,PG,100,Warner Bros.,"$60,000,000","$257,760,692","$210,300,000","$468,060,692"
2967,Bumblebee ,2018,Sci-Fi,PG-13,114,Paramount Pictures,"$135,000,000","$127,195,589","$340,794,056","$467,989,645"
147,Star Trek Into Darkness ,2013,Adventure,PG-13,132,Paramount Pictures,"$190,000,000","$228,778,661","$238,586,585","$467,365,246"
70,Cars ,2006,Animation,,117,Walt Disney Studios Motion Pictures,"$120,000,000","$244,082,982","$217,900,167","$461,983,149"
12,Gladiator ,2000,Adventure,R,155,DreamWorks Distribution,"$103,000,000","$187,705,427","$272,878,533","$460,583,960"
71,X-Men: The Last Stand ,2006,Action,PG-13,104,Twentieth Century Fox,"$210,000,000","$234,362,462","$226,072,829","$460,435,291"
2307,Lucy ,2014,Sci-Fi,R,89,Universal Pictures,"$40,000,000","$126,663,600","$332,200,000","$458,863,600"
298,Ocean's Eleven ,2001,Crime,PG-13,116,Warner Bros.,"$85,000,000","$183,417,150","$267,300,000","$450,717,150"
125,Thor ,2011,Adventure,PG-13,115,Paramount Pictures,"$150,000,000","$181,030,624","$268,295,994","$449,326,618"
24,Pearl Harbor ,2001,Romance,PG-13,183,Walt Disney Studios Motion Pictures,"$140,000,000","$198,542,554","$250,678,391","$449,220,945"
2679,La La Land ,2016,Comedy,PG-13,128,Lionsgate,"$30,000,000","$151,101,803","$296,305,892","$447,407,695"
84,The Bourne Ultimatum ,2007,Action,PG-13,115,Universal Pictures,"$110,000,000","$227,471,070","$216,628,965","$444,100,035"
1535,Alvin and the Chipmunks: The Squeakquel ,2009,Animation,PG,88,Twentieth Century Fox,"$75,000,000","$219,614,612","$223,525,393","$443,140,005"
36,Men in Black II ,2002,Action,PG-13,88,Sony Pictures Entertainment (SPE),"$140,000,000","$190,418,803","$251,400,000","$441,818,803"
2007,Les Misérables ,2012,History,PG-13,158,Universal Pictures,"$61,000,000","$148,809,770","$293,000,000","$441,809,770"
2470,Terminator Genisys ,2015,Adventure,PG-13,126,Paramount Pictures,"$155,000,000","$89,760,956","$350,842,581","$440,603,537"
2661,Warcraft ,2016,Fantasy,PG-13,123,Universal Pictures,"$160,000,000","$47,365,290","$391,683,624","$439,048,914"
